Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
4,0,Analytics/BI,Analyst,Insurance,I,Product Manager,Under Grad,,,,,,,,,,Pune,Bangalore,661222,N,B,2,8,1,0,826527
8,2,Engineering,Scientist,Analytics,N,Web Designer,Grad,Chemistry,Jaipur,2005.0,Chemistry,Jaipur,2007.0,Chemistry,Mumbai,2012.0,Kanpur,Mumbai,1141979,Y,A,3,7,3,0,1520202
2,2,,Sales Execituve,FMCG,A,Product Manager,Grad,Sociology,Guwahati,2018.0,,,,,,,Pune,Lucknow,584596,N,B,1,1,0,0,730745
4,2,Analytics/BI,Analyst,IT,P,fresher,Doctorate,Sociology,Jaipur,2016.0,,,,,,,Bhubaneswar,Mumbai,1082319,N,A,3,1,0,0,1519575
25,25,Sales,Sales Execituve,Aviation,H,Sr.Manager,Grad,Engineering,Mumbai,1989.0,Engineering,Mumbai,1991.0,Engineering,Nagpur,1995.0,Delhi,Kanpur,2576903,Y,Key_Performer,3,6,0,0,3298435
22,13,Marketing,Sales Manager,Retail,J,Marketing Manager,Grad,Economics,Ahmedabad,1991.0,Others,Ahmedabad,1993.0,Zoology,Delhi,1998.0,Mumbai,Bhubaneswar,2457436,Y,Key_Performer,2,3,0,0,3145518
6,5,Accounts,Financial Analyst,BFSI,K,Web Designer,Grad,Economics,Ahmedabad,2008.0,Economics,Ahmedabad,2010.0,Economics,Mumbai,2014.0,Kolkata,Mumbai,558517,N,A,6,3,2,0,726072
22,20,,Senior Researcher,Analytics,K,Others,PG,Zoology,Mumbai,1992.0,Zoology,Mumbai,1994.0,Zoology,Delhi,1998.0,Mumbai,Bhubaneswar,2745205,N,C,4,4,1,0,3283265
2,2,Marketing,Sales Manager,Training,K,Assistant Manager,Grad,Mathematics,Surat,2011.0,Mathematics,Surat,2013.0,Mathematics,Nagpur,2018.0,Lucknow,Jaipur,527444,N,A,3,8,4,0,659305
11,3,Education,Financial Analyst,IT,H,Marketing Manager,PG,Chemistry,Kolkata,2003.0,Others,Kolkata,2005.0,Others,Guwahati,2009.0,Guwahati,Lucknow,1746890,Y,Key_Performer,4,6,1,0,2305894
11,10,Marketing,Head,Training,H,Marketing Manager,Under Grad,,,,,,,,,,Surat,Surat,1199098,N,B,4,7,3,1,1498872
19,19,Education,Bio statistician,Training,E,HR,Doctorate,Statistics,Jaipur,2001.0,Statistics,Jaipur,2013.0,,,,Kolkata,Bangalore,2816631,N,C,2,2,0,0,3498255
16,4,Banking,CEO,Training,L,Consultant,Doctorate,Botony,Bangalore,2004.0,Botony,Bangalore,2020.0,,,,Kolkata,Chennai,2598249,N,C,3,2,0,1,3227025
9,4,Education,Consultant,Training,J,Medical Officer,Under Grad,,,,,,,,,,Mumbai,Jaipur,1503277,N,B,4,2,1,0,1879096
22,1,Banking,CEO,Training,N,Product Manager,PG,Others,Lucknow,1991.0,Others,Lucknow,1993.0,Arts,Lucknow,1998.0,Jaipur,Pune,2429640,N,C,2,8,1,0,2905849
7,2,Marketing,Scientist,Analytics,M,CA,PG,Economics,Bhubaneswar,2013.0,Economics,Bhubaneswar,2016.0,,,,Kolkata,Mangalore,1415042,N,D,6,2,1,1,1692390
15,1,Analytics/BI,Others,Training,N,Consultant,PG,Engineering,Nagpur,1996.0,Engineering,Nagpur,1998.0,Engineering,Bangalore,2005.0,Mumbai,Ahmedabad,2240109,N,C,2,8,2,0,2679170
4,0,Marketing,Financial Analyst,IT,H,Research Analyst,PG,Statistics,Surat,2008.0,Statistics,Surat,2010.0,Statistics,Mumbai,2016.0,Kanpur,Mangalore,951747,Y,B,5,5,1,0,1256306
2,0,Marketing,Bio statistician,BFSI,C,CA,Grad,Statistics,Kolkata,2010.0,Statistics,Kolkata,2012.0,Statistics,Jaipur,2018.0,Ahmedabad,Surat,513471,N,B,3,3,0,0,641838
13,12,Education,Business Analyst,Analytics,M,CA,PG,Economics,Kolkata,2000.0,Economics,Kolkata,2002.0,Economics,Ahmedabad,2007.0,Pune,Ahmedabad,1546266,N,B,2,8,1,0,2010145
4,2,Others,Project Manager,Telecom,C,fresher,Doctorate,Zoology,Pune,2016.0,,,,,,,Jaipur,Lucknow,1217420,N,C,3,0,0,0,1512035
5,3,Marketing,Team Lead,Telecom,N,Product Manager,Grad,Mathematics,Surat,2008.0,Mathematics,Surat,2010.0,Mathematics,Lucknow,2015.0,Ahmedabad,Kolkata,500687,Y,C,6,6,0,0,589609
22,5,IT-Software,Consultant,Automobile,M,Software Developer,PG,Others,Ahmedabad,1991.0,Mathematics,Ahmedabad,1993.0,Chemistry,Jaipur,1998.0,Kanpur,Mangalore,3748584,Y,Key_Performer,5,5,0,0,4948130
22,21,Marketing,Others,Aviation,I,Medical Officer,Grad,Psychology,Mangalore,1998.0,Psychology,Mangalore,2009.0,,,,Mangalore,Ahmedabad,2577817,Y,Key_Performer,6,2,0,0,3299605
9,3,IT-Software,Sales Execituve,Insurance,M,Marketing Manager,Under Grad,,,,,,,,,,Pune,Mumbai,1385073,Y,A,2,4,2,0,1800594
24,22,Top Management,Sr. Business Analyst,Insurance,I,Assistant Manager,Grad,Engineering,Guwahati,1996.0,Engineering,Guwahati,2012.0,,,,Kanpur,Jaipur,2681512,N,D,6,0,0,0,3083738
24,8,HR,Project Manager,Aviation,K,Consultant,Doctorate,Others,Surat,1989.0,Zoology,Surat,1991.0,Sociology,Ahmedabad,1996.0,Kanpur,Kolkata,2452799,N,D,4,5,0,0,3046376
1,1,Engineering,Project Manager,FMCG,L,Network Engineer,Doctorate,Others,Bangalore,2019.0,Sociology,Bangalore,2022.0,,,,Lucknow,Lucknow,777519,N,B,2,0,0,0,971898
23,7,Healthcare,Head,IT,N,Research Analyst,Under Grad,,,,,,,,,,Bhubaneswar,Delhi,1694850,N,D,6,0,2,1,1949077
2,2,HR,Associate,Insurance,J,Research Analyst,PG,Zoology,Jaipur,2018.0,,,,,,,Bhubaneswar,Bhubaneswar,781291,N,B,2,0,0,0,1015678
16,9,Analytics/BI,Others,FMCG,A,Medical Officer,PG,Sociology,Kolkata,1998.0,Sociology,Kolkata,2000.0,Others,Pune,2004.0,Kolkata,Lucknow,2631776,N,B,3,3,0,0,3421308
23,23,Others,Analyst,IT,C,Marketing Manager,Grad,Chemistry,Ahmedabad,1989.0,Chemistry,Ahmedabad,1991.0,Others,Surat,1997.0,Pune,Kanpur,2544577,Y,C,4,8,0,0,2996493
9,9,IT-Software,Principal Analyst,FMCG,M,HR,PG,Chemistry,Ahmedabad,2002.0,Chemistry,Ahmedabad,2004.0,Chemistry,Surat,2011.0,Guwahati,Chennai,1373725,Y,Key_Performer,4,4,1,0,1813317
15,10,Accounts,Analyst,Automobile,C,HR,PG,Engineering,Nagpur,1997.0,Engineering,Nagpur,1999.0,Engineering,Mumbai,2005.0,Kolkata,Pune,1765033,N,B,4,7,1,0,2294542
25,9,Accounts,Bio statistician,BFSI,N,Consultant,Grad,Mathematics,Bhubaneswar,1986.0,Mathematics,Bhubaneswar,1988.0,Mathematics,Ahmedabad,1995.0,Pune,Mangalore,1424675,Y,C,4,8,0,0,1677697
10,7,IT-Software,Others,Retail,C,Medical Officer,Grad,Chemistry,Kolkata,2010.0,Chemistry,Kolkata,2017.0,,,,Kanpur,Pune,1812038,N,D,3,2,0,0,2083843
9,4,Sales,Scientist,Aviation,P,Others,PG,Economics,Ahmedabad,2004.0,Economics,Ahmedabad,2006.0,Economics,Delhi,2011.0,Kanpur,Delhi,1112326,N,A,3,5,1,0,1446023
2,2,Marketing,,FMCG,E,Marketing Manager,Under Grad,,,,,,,,,,Delhi,Bangalore,445521,N,B,2,1,3,0,556901
10,1,Top Management,Bio statistician,BFSI,I,Director,Grad,Statistics,Mangalore,2003.0,Statistics,Mangalore,2005.0,Statistics,Delhi,2010.0,Kolkata,Nagpur,1998929,Y,B,4,4,0,0,2558629
3,1,Marketing,Consultant,Insurance,B,Software Developer,PG,Mathematics,Guwahati,2011.0,Others,Guwahati,2013.0,Botony,Delhi,2017.0,Surat,Surat,661906,Y,C,1,3,0,0,803818
3,2,Analytics/BI,Analyst,Telecom,A,Research Analyst,Doctorate,Botony,Kolkata,2008.0,Others,Kolkata,2010.0,Arts,Kolkata,2017.0,Bangalore,Lucknow,1305809,Y,B,2,7,0,0,1828132
23,17,Analytics/BI,Financial Analyst,Automobile,C,Director,PG,Statistics,Guwahati,1989.0,Statistics,Guwahati,1991.0,Statistics,Bhubaneswar,1997.0,Ahmedabad,Nagpur,3553425,Y,Key_Performer,4,3,1,0,4690521
3,2,Analytics/BI,Data scientist,Aviation,N,Consultant,Grad,Psychology,Mangalore,2010.0,Psychology,Mangalore,2012.0,Psychology,Ahmedabad,2017.0,Kanpur,Mangalore,564283,N,D,1,4,0,0,648925
11,8,Engineering,Head,BFSI,J,Consultant,PG,Mathematics,Surat,2009.0,Mathematics,Surat,2019.0,,,,Delhi,Bangalore,1789587,Y,Key_Performer,6,1,1,0,2362254
8,6,Others,Scientist,IT,K,Product Manager,Grad,Statistics,Pune,2004.0,Statistics,Pune,2006.0,Statistics,Ahmedabad,2012.0,Bhubaneswar,Bhubaneswar,1306648,N,A,1,6,0,0,1698642
5,0,Analytics/BI,Data scientist,IT,I,fresher,Grad,Sociology,Mangalore,2009.0,Others,Mangalore,2011.0,Zoology,Pune,2015.0,Bangalore,Kanpur,626042,N,A,4,3,0,1,813854
23,12,Banking,Bio statistician,Telecom,P,fresher,PG,Zoology,Surat,1991.0,Others,Surat,1993.0,Zoology,Mumbai,1997.0,Mumbai,Nagpur,2506941,N,C,3,3,2,0,2998301
17,2,,Business Analyst,Analytics,N,Consultant,PG,Sociology,Jaipur,2003.0,Sociology,Jaipur,2014.0,,,,Jaipur,Guwahati,3407677,N,Key_Performer,4,2,1,0,4429980
14,3,Sales,Others,Insurance,E,Consultant,Grad,Engineering,Bangalore,2000.0,Engineering,Bangalore,2002.0,Engineering,Bangalore,2006.0,Jaipur,Chennai,1956077,Y,A,6,8,0,0,2503778
4,2,Marketing,Associate,FMCG,P,Software Developer,Doctorate,Chemistry,Delhi,2007.0,Chemistry,Delhi,2009.0,Chemistry,Pune,2016.0,Kolkata,Mumbai,952604,N,C,2,6,0,0,1183134
15,6,HR,Analyst,Retail,A,Director,PG,Others,Jaipur,1999.0,Mathematics,Jaipur,2001.0,Economics,Mangalore,2005.0,Mumbai,Lucknow,1465915,Y,D,6,3,0,0,1780207
5,3,HR,Sales Execituve,Retail,C,Medical Officer,PG,Botony,Pune,2015.0,Botony,Pune,2017.0,,,,Bhubaneswar,Bhubaneswar,946212,N,C,5,1,1,0,1131669
11,5,Education,Project Manager,Automobile,I,HR,Doctorate,Chemistry,Bangalore,2001.0,Chemistry,Bangalore,2003.0,Chemistry,Jaipur,2009.0,Nagpur,Pune,1979283,Y,D,6,6,0,0,2549316
11,3,Education,Business Analyst,Aviation,A,Manager,PG,Sociology,Kolkata,2009.0,,,,,,,Jaipur,Nagpur,1294684,N,D,6,0,1,0,1548442
1,0,Others,Team Lead,Aviation,N,HR,Under Grad,,,,,,,,,,Jaipur,Surat,505992,N,C,3,5,3,0,581890
11,3,HR,Team Lead,IT,G,Director,Grad,Economics,Nagpur,2003.0,Economics,Nagpur,2005.0,Economics,Mumbai,2009.0,Ahmedabad,Mangalore,1863415,Y,D,3,6,0,0,2194357
15,6,Banking,Financial Analyst,BFSI,I,CA,PG,Mathematics,Nagpur,1996.0,Mathematics,Nagpur,1998.0,Mathematics,Guwahati,2005.0,Delhi,Jaipur,2445297,Y,Key_Performer,4,4,4,0,3227792
9,0,Marketing,Others,Training,O,fresher,Grad,Botony,Jaipur,2011.0,,,,,,,Jaipur,Chennai,969711,N,B,6,0,0,0,1212138
12,10,Engineering,CEO,Retail,N,Research Analyst,Under Grad,,,,,,,,,,Mumbai,Lucknow,1285688,N,C,6,7,0,1,1478541
18,4,Sales,CEO,Aviation,E,CA,Grad,Mathematics,Delhi,1996.0,Mathematics,Delhi,1998.0,Mathematics,Ahmedabad,2002.0,Surat,Pune,2337632,N,A,5,8,0,0,2922040
4,0,HR,Others,Training,O,Medical Officer,PG,Botony,Mangalore,2010.0,Botony,Mangalore,2012.0,Botony,Nagpur,2016.0,Bangalore,Delhi,861644,N,D,3,3,1,0,1030526
5,1,Marketing,Sales Execituve,Automobile,K,Consultant,Grad,Zoology,Ahmedabad,2008.0,Zoology,Ahmedabad,2010.0,Zoology,Lucknow,2015.0,Surat,Bangalore,542398,N,C,2,4,0,0,623757
19,5,Marketing,Sales Execituve,Analytics,F,Network Engineer,PG,Statistics,Jaipur,1992.0,Statistics,Jaipur,1994.0,Statistics,Bangalore,2001.0,Bangalore,Jaipur,3471444,Y,Key_Performer,6,7,3,0,4582306
20,5,Engineering,Senior Researcher,Telecom,K,fresher,Under Grad,,,,,,,,,,Lucknow,Kanpur,2293633,Y,Key_Performer,2,3,1,0,2981722
1,1,,Associate,Telecom,H,Research Analyst,Grad,Psychology,Bhubaneswar,2019.0,,,,,,,Surat,Lucknow,472018,N,B,1,1,3,0,590022
15,14,HR,Sales Manager,Insurance,B,Software Developer,PG,Economics,Nagpur,2005.0,Economics,Nagpur,2017.0,,,,Pune,Ahmedabad,1573952,N,C,5,0,0,0,1882446
16,5,Engineering,Others,Insurance,D,Web Designer,Doctorate,Economics,Mangalore,2004.0,Economics,Mangalore,2018.0,,,,Bangalore,Ahmedabad,3033202,Y,B,5,1,0,0,4246482
13,4,,Others,Others,G,Medical Officer,Grad,Psychology,Surat,1999.0,Psychology,Surat,2001.0,Psychology,Bangalore,2007.0,Surat,Nagpur,1971569,N,A,6,8,0,0,2464461
18,3,Marketing,Head,IT,A,Software Developer,Doctorate,Statistics,Guwahati,1995.0,Others,Guwahati,1997.0,Botony,Kolkata,2002.0,Guwahati,Kanpur,3686139,Y,Key_Performer,6,7,0,1,5160594
5,5,Banking,Team Lead,Aviation,P,Director,Grad,Economics,Kolkata,2008.0,Economics,Kolkata,2010.0,Economics,Pune,2015.0,Kolkata,Pune,630062,Y,Key_Performer,5,7,0,0,838738
25,15,,Bio statistician,Training,G,Product Manager,Doctorate,Botony,Bhubaneswar,1995.0,,,,,,,Delhi,Ahmedabad,3443850,Y,Key_Performer,5,1,0,0,4821390
16,15,IT-Software,Sales Execituve,FMCG,H,Assistant Manager,PG,Chemistry,Surat,1998.0,Chemistry,Surat,2000.0,Chemistry,Pune,2004.0,Mangalore,Ahmedabad,2300586,Y,C,6,4,1,0,2793831
9,6,Banking,Sales Manager,Insurance,H,Marketing Manager,Under Grad,,,,,,,,,,Kanpur,Bhubaneswar,1825369,Y,D,4,5,1,0,2183141
5,0,HR,Others,IT,D,Sr.Manager,Doctorate,Botony,Lucknow,2015.0,Botony,Lucknow,2011.0,,,,Lucknow,Kolkata,1361036,N,Key_Performer,5,0,0,0,1910894
13,0,Analytics/BI,Financial Analyst,FMCG,J,Research Analyst,Doctorate,Mathematics,Ahmedabad,2000.0,Mathematics,Ahmedabad,2002.0,Mathematics,Pune,2007.0,Guwahati,Bhubaneswar,1668292,Y,Key_Performer,2,3,0,0,2335608
24,11,Analytics/BI,Analyst,IT,H,Network Engineer,Under Grad,,,,,,,,,,Nagpur,Bangalore,2183770,N,D,4,7,3,0,2511335
5,2,HR,Consultant,Telecom,P,Product Manager,Grad,Zoology,Kolkata,2009.0,Zoology,Kolkata,2011.0,Zoology,Lucknow,2015.0,Chennai,Bhubaneswar,508534,N,B,1,3,0,0,635667
18,13,Analytics/BI,Analyst,BFSI,L,Software Developer,Grad,Others,Surat,1995.0,Economics,Surat,1997.0,Others,Nagpur,2002.0,Lucknow,Delhi,2514589,Y,B,2,6,4,0,3218673
6,0,Education,Bio statistician,BFSI,K,HR,PG,Sociology,Guwahati,2005.0,Sociology,Guwahati,2007.0,Sociology,Nagpur,2014.0,Nagpur,Mangalore,1000316,N,C,5,8,0,0,1196377
12,9,Marketing,Financial Analyst,Aviation,L,Network Engineer,PG,Statistics,Mumbai,2001.0,Statistics,Mumbai,2003.0,Statistics,Delhi,2008.0,Pune,Ahmedabad,2307887,Y,Key_Performer,3,7,0,0,3046410
13,2,Education,Consultant,Insurance,E,Product Manager,PG,Statistics,Bangalore,2000.0,Others,Bangalore,2002.0,Chemistry,Mumbai,2007.0,Kolkata,Ahmedabad,1489592,Y,A,2,5,1,0,1966261
10,6,Engineering,Project Manager,BFSI,M,Research Analyst,Doctorate,Botony,Jaipur,2002.0,Botony,Jaipur,2004.0,Botony,Lucknow,2010.0,Nagpur,Bhubaneswar,1897846,N,A,2,8,0,0,2562092
20,3,Education,Sales Manager,BFSI,F,Assistant Manager,PG,Botony,Jaipur,1993.0,Botony,Jaipur,1995.0,Others,Mumbai,2000.0,Surat,Jaipur,2119193,Y,Key_Performer,4,6,1,0,2797334
7,1,,Bio statistician,Aviation,H,Medical Officer,PG,Arts,Nagpur,2006.0,Arts,Nagpur,2008.0,Arts,Guwahati,2013.0,Ahmedabad,Bhubaneswar,1383039,Y,Key_Performer,3,3,1,0,1898635
10,8,Analytics/BI,Senior Researcher,Insurance,I,Sr.Manager,Doctorate,Arts,Bangalore,2002.0,Arts,Bangalore,2004.0,Arts,Jaipur,2010.0,Jaipur,Pune,1715332,N,A,1,4,0,0,2315698
8,1,Engineering,Bio statistician,BFSI,G,fresher,PG,Sociology,Nagpur,2012.0,Sociology,Nagpur,2009.0,,,,Ahmedabad,Pune,1814903,N,D,3,0,1,0,2170623
14,10,Banking,Financial Analyst,Others,L,Data Analyst,Under Grad,,,,,,,,,,Mangalore,Jaipur,1347703,Y,Key_Performer,2,3,3,0,1752013
1,0,Healthcare,Business Analyst,Analytics,I,Marketing Manager,Under Grad,,,,,,,,,,Pune,Nagpur,499723,N,D,3,8,2,0,574681
21,9,Banking,Head,Aviation,M,Manager,Grad,Chemistry,Nagpur,1992.0,Chemistry,Nagpur,1994.0,Chemistry,Bangalore,1999.0,Bangalore,Guwahati,2490503,Y,Key_Performer,4,8,0,1,3187843
10,8,Sales,Financial Analyst,Aviation,I,Consultant,Grad,Engineering,Kolkata,2004.0,Engineering,Kolkata,2006.0,Engineering,Mumbai,2010.0,Bangalore,Guwahati,1917907,Y,Key_Performer,4,5,0,0,2454920
2,1,Others,Team Lead,IT,N,Director,Doctorate,Statistics,Lucknow,2018.0,Statistics,Lucknow,2013.0,,,,Mumbai,Mangalore,722878,N,D,3,0,0,0,877863
11,4,Analytics/BI,Team Lead,Telecom,F,Product Manager,PG,Psychology,Lucknow,2009.0,Psychology,Lucknow,2020.0,,,,Lucknow,Bangalore,2472884,N,Key_Performer,2,1,0,0,3214749
18,13,Banking,Head,Automobile,B,fresher,PG,Botony,Jaipur,2002.0,Botony,Jaipur,2015.0,,,,Mumbai,Mumbai,2767657,N,A,4,1,1,0,3597954
